patient,range,total_sites,no_silent_sites,no_replacement_sites,Replacement/Silent Ratio
P1,low,272.2159999999999,103.88989367892087,168.32610632107904,1.6202356202356205,
P1,mid,84.83400000000005,20.953635713576336,63.88036428642371,3.048652995577,
P1,high,2.1299999999999994,0.0080,2.1219999999999994,265.24999999999994,
P1,total,359.17999999999995,124.8515293924972,234.32847060750274,1.8768570296871703

P2,low,233.00199999999998,53.51506077348065,179.48693922651933,3.353951890034365,
P2,mid,121.64199999999997,29.317057920866468,92.3249420791335,3.1491885143570655,
P2,high,5.446,2.261627906976744,3.184372093023256,1.4080000000000001,
P2,total,360.0899999999999,85.09374660132386,274.99625339867606,3.2316858098524217

P3,low,179.30399999999992,33.35099621689786,145.95300378310205,4.3762711864406745,
P3,mid,94.22400000000002,12.283573926868048,81.94042607313197,6.670731707317073,
P3,high,8.495999999999999,0.006014157621519585,8.489985842378479,1411.6666666666663,
P3,total,282.0239999999999,45.640584301387435,236.3834156986125,5.179237280085099

P4,low,267.62399999999997,84.99646351931331,182.62753648068664,2.148648648648648,
P4,mid,88.71,24.453891317926296,64.2561086820737,2.627643504531722,
P4,high,0.088,0.0020,0.086,42.99999999999999,
P4,total,356.422,109.4523548372396,246.96964516276034,2.256412349738979

P5,low,156.19000000000003,62.0080149812734,94.18198501872662,1.5188679245283025,
P5,mid,181.19599999999988,52.37674910783554,128.81925089216435,2.4594739667203407,
P5,high,16.844,3.390408723540731,13.453591276459269,3.968132568514978,
P5,total,354.22999999999996,117.77517281264967,236.45482718735022,2.0076797302899285

P6,low,235.8279999999998,141.82433888888883,94.00366111111096,0.6628175519630477,
P6,mid,115.40599999999999,52.14357475083059,63.262425249169404,1.2132352941176459,
P6,high,7.81,0.006012317167051578,7.803987682832948,1298.0,
P6,total,359.04399999999976,193.9739259568865,165.0700740431133,0.8509910454655772

P7,low,262.5780000000001,37.36686923076921,225.21113076923086,6.0270270270270325,
P7,mid,87.2419999999999,6.238292277825712,81.0037077221742,12.984917043740557,
P7,high,10.308000000000002,0.452,9.856000000000002,21.805309734513276,
P7,total,360.12800000000004,44.05716150859492,316.0708384914051,7.1741080829672645

P8,low,250.8999999999998,129.42107913669057,121.47892086330923,0.938633193863319,
P8,mid,99.49799999999999,44.7788485523385,54.71915144766149,1.221986567691765,
P8,high,9.956000000000001,1.8827060445082557,8.073293955491746,4.288133019512566,
P8,total,360.3539999999998,176.08263373353734,184.27136626646245,1.0465050548103283

P9,low,235.728,65.20136170212764,170.52663829787238,2.6153846153846168,
P9,mid,121.35199999999983,32.60309465020574,88.7489053497941,2.7221006564551398,
P9,high,3.2039999999999997,0.0948287153652393,3.1091712846347606,32.78723404255319,
P9,total,360.2839999999998,97.89928506769861,262.3847149323013,2.680149449006281

P10,low,287.7120000000001,98.61707368421051,189.09492631578956,1.9174664107485617,
P10,mid,56.37400000000004,14.628044482647473,41.74595551735256,2.8538302277432726,
P10,high,9.531999999999998,0.978,8.553999999999998,8.746421267893659,
P10,total,353.6180000000001,114.22311816685797,239.39488183314214,2.0958531484268565

P11,low,292.1699999999999,99.95289473684205,192.21710526315783,1.9230769230769234,
P11,mid,51.626000000000026,17.94519760000002,33.680802400000005,1.8768699654775585,
P11,high,3.262,0.67,2.592,3.8686567164179104,
P11,total,347.05799999999994,118.56809233684207,228.48990766315785,1.9270775396641877

P12,low,289.4200000000001,60.12106280193237,229.29893719806768,3.8139534883720936,
P12,mid,68.41199999999998,13.012555377207057,55.39944462279293,4.257383966244727,
P12,high,5.4879999999999995,0.5880000000000001,4.8999999999999995,8.333333333333332,
P12,total,363.32000000000005,73.72161817913943,289.5983818208606,3.9282694679483656

P13,low,312.18200000000024,108.36101927680481,203.82098072319542,1.88094373865699,
P13,mid,42.21199999999999,10.465690180709778,31.746309819290214,3.0333699231613593,
P13,high,2.7039999999999997,0.364,2.34,6.428571428571428,
P13,total,357.0980000000002,119.1907094575146,237.90729054248564,1.9960221029415672

P14,low,275.90600000000006,78.94478140885982,196.9612185911402,2.4949238578680215,
P14,mid,60.68400000000002,14.382433394420701,46.30156660557932,3.219313820951942,
P14,high,5.064,0.6762222222222222,4.387777777777778,6.488662504107789,
P14,total,341.65400000000005,94.00343702550275,247.65056297449732,2.6344841296314594

P15,low,248.0240000000001,46.8073712255773,201.2166287744228,4.298823529411763,
P15,mid,98.69399999999999,18.8602139257902,79.83378607420978,4.232920495405511,
P15,high,6.891999999999999,0.7922298984034833,6.099770101596516,7.699494949494948,
P15,total,353.61000000000007,66.45981504977098,287.15018495022906,4.320658803145715

P16,low,298.23400000000004,113.84493339876616,184.38906660123385,1.6196510560146917,
P16,mid,52.346000000000004,16.18539307039599,36.160606929604015,2.2341506797103268,
P16,high,5.912,1.104,4.808,4.355072463768115,
P16,total,356.492,131.13432646916218,225.35767353083787,1.7185254204499496

P18,low,283.51599999999996,113.87265022137876,169.6433497786212,1.4897637795275611,
P18,mid,65.40599999999999,24.446748326112633,40.95925167388736,1.675447839831402,
P18,high,7.404,2.5940000000000003,4.81,1.8542791056283727,
P18,total,356.32599999999996,140.9133985474914,215.41260145250857,1.5286878584502315

P19,low,265.7520000000001,125.83262385321099,139.91937614678915,1.111948331539291,
P19,mid,87.86400000000005,43.86785632939116,43.99614367060889,1.0029244041526546,
P19,high,3.552,0.012,3.54,295.0,
P19,total,357.1680000000002,169.71248018260215,187.45551981739803,1.1045476420809197

P20,low,256.25000000000034,41.3849765258216,214.8650234741787,5.191860465116286,
P20,mid,99.55199999999971,13.87063430962343,85.68136569037628,6.177177177177157,
P20,high,0.034,0.0,0.034,Infinity,
P20,total,355.83600000000007,55.255610835445026,300.58038916455496,5.439816601787352

P21,low,268.4900000000001,88.53555274794698,179.95444725205314,2.032567049808429,
P21,mid,95.19000000000004,26.97770619172839,68.21229380827165,2.528469000421769,
P21,high,2.8040000000000003,0.0,2.8040000000000003,Infinity,
P21,total,366.4840000000001,115.51325893967537,250.9707410603248,2.172657436592535

P22,low,254.98000000000008,145.02148634984843,109.95851365015166,0.7582222222222217,
P22,mid,104.66000000000001,60.26319888734351,44.3968011126565,0.7367149758454113,
P22,high,0.138,0.03554545454545455,0.10245454545454546,2.8823529411764706,
P22,total,359.778,205.3202306917374,154.4577693082627,0.752277399980919

P23,low,320.2940000000001,120.70622815033153,199.58777184966854,1.6535001955416528,
P23,mid,35.95200000000001,16.711864978902945,19.240135021097068,1.151285930408474,
P23,high,3.9579999999999997,0.578,3.38,5.8477508650519034,
P23,total,360.20400000000006,137.99609312923448,222.2079068707656,1.61024781087582

P24,low,312.5559999999998,160.90938646375645,151.6466135362434,0.9424348502528197,
P24,mid,44.19,23.03899690402477,21.151003095975224,0.918052256532066,
P24,high,3.2640000000000002,0.784,2.48,3.1632653061224487,
P24,total,360.0099999999998,184.7323833677812,175.2776166322186,0.9488191157219077

P25,low,281.0079999999999,92.07048126561195,188.93751873438796,2.052096569250318,
P25,mid,62.74,14.083032716927454,48.65696728307255,3.4550063371356146,
P25,high,16.125999999999998,4.311999999999999,11.814,2.7397959183673475,
P25,total,359.87399999999997,110.46551398253939,249.4084860174605,2.2577950079233142

